Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
31,Daulton Hyatt," Etowah (Attalla, AL)  ", PRO , 6-4 / 182 ,0.8774, 431 19 21 ,431,19,21,daulton-hyatt,https://www.sports-reference.com/cfb/players/daulton-hyatt-1.html
28,Jack Coan," Sayville (West Sayville, NY)  ", PRO , 6-3 / 190 ,0.8714, 469 20 2 ,469,20,2,jack-coan,https://www.sports-reference.com/cfb/players/jack-coan-1.html
127,Connor Neville," Wilsonville (Wilsonville, OR)  ", PRO , 6-1.5 / 187 ,0.87, 483 21 5 ,483,21,5,connor-neville,https://www.sports-reference.com/cfb/players/connor-neville-1.html
N/A,Judd Erickson," Mountain Vista (Littleton, CO)  ", PRO , 6-4 / 204 ,0.8688, 499 22 4 ,499,22,4,judd-erickson,https://www.sports-reference.com/cfb/players/judd-erickson-1.html
46,Jake Allen," St. Thomas Aquinas (Fort Lauderdale, FL)  ", PRO , 6-3 / 200 ,0.8646, 555 23 74 ,555,23,74,jake-allen,https://www.sports-reference.com/cfb/players/jake-allen-1.html
16,Xavier Martin," Steele (Cibolo, TX)  ", DUAL , 6-0 / 180 ,0.8644, 559 12 75 ,559,12,75,xavier-martin,https://www.sports-reference.com/cfb/players/xavier-martin-1.html
24,Rocky Lombardi," Valley (West Des Moines, IA)  ", DUAL , 6-3.5 / 215 ,0.8641, 563 13 5 ,563,13,5,rocky-lombardi,https://www.sports-reference.com/cfb/players/rocky-lombardi-1.html
36,Jacob Free," Brantley (Brantley, AL)  ", PRO , 6-5 / 200 ,0.8609, 610 24 31 ,610,24,31,jacob-free,https://www.sports-reference.com/cfb/players/jacob-free-1.html
40,Jake Haener," Monte Vista (Danville, CA)  ", PRO , 6-0.5 / 188 ,0.8599, 624 25 62 ,624,25,62,jake-haener,https://www.sports-reference.com/cfb/players/jake-haener-1.html
52,Tyler Lytle," Servite (Anaheim, CA)  ", PRO , 6-4.5 / 199 ,0.8597, 629 26 63 ,629,26,63,tyler-lytle,https://www.sports-reference.com/cfb/players/tyler-lytle-1.html
64,Cade Weldon," Jefferson (Tampa, FL)  ", PRO , 6-2.5 / 203 ,0.858, 663 27 86 ,663,27,86,cade-weldon,https://www.sports-reference.com/cfb/players/cade-weldon-1.html
67,Peyton Mansell," Belton (Belton, TX)  ", DUAL , 6-2 / 189 ,0.858, 664 14 93 ,664,14,93,peyton-mansell,https://www.sports-reference.com/cfb/players/peyton-mansell-1.html
32,Nick Sipe," Villa Park (Villa Park, CA)  ", PRO , 6-4 / 191 ,0.8569, 684 28 69 ,684,28,69,nick-sipe,https://www.sports-reference.com/cfb/players/nick-sipe-1.html
55,Jay Urich," Wren (Piedmont, SC)  ", DUAL , 6-4 / 196 ,0.8564, 695 15 9 ,695,15,9,jay-urich,https://www.sports-reference.com/cfb/players/jay-urich-1.html
37,Matt McKay," Wakefield (Raleigh, NC)  ", PRO , 6-4 / 185 ,0.856, 699 29 25 ,699,29,25,matt-mckay,https://www.sports-reference.com/cfb/players/matt-mckay-1.html
41,Lindell Stone," Woodberry Forest (Woodberry Forest, VA)  ", PRO , 6-2 / 205 ,0.8559, 701 30 19 ,701,30,19,lindell-stone,https://www.sports-reference.com/cfb/players/lindell-stone-1.html
47,Jelani Woods," Cedar Grove (Ellenwood, GA)  ", PRO , 6-7 / 230 ,0.8559, 705 31 70 ,705,31,70,jelani-woods,https://www.sports-reference.com/cfb/players/jelani-woods-1.html
53,Johnathan Lewis," St. Peters Prep (Jersey City, NJ)  ", DUAL , 6-3 / 225 ,0.8558, 713 16 19 ,713,16,19,johnathan-lewis,https://www.sports-reference.com/cfb/players/johnathan-lewis-1.html
54,Chase Cord," Sunrise Mountain (Peoria, AZ)  ", PRO , 6-3 / 195 ,0.855, 720 32 11 ,720,32,11,chase-cord,https://www.sports-reference.com/cfb/players/chase-cord-1.html
19,Kenny Pickett," Ocean Township (Oakhurst, NJ)  ", PRO , 6-3 / 200 ,0.8538, 738 33 21 ,738,33,21,kenny-pickett,https://www.sports-reference.com/cfb/players/kenny-pickett-1.html
1,Trevor Lawrence," Cartersville (Cartersville, GA)  ", PRO , 6-6 / 208 ,0.9999, 1 1 1 ,1,1,1,trevor-lawrence,https://www.sports-reference.com/cfb/players/trevor-lawrence-1.html
2,Justin Fields," Harrison (Kennesaw, GA)  ", DUAL , 6-3 / 221 ,0.9998, 2 1 2 ,2,1,2,justin-fields,https://www.sports-reference.com/cfb/players/justin-fields-1.html
3,JT Daniels," Mater Dei (Santa Ana, CA)  ", PRO , 6-2 / 205 ,0.9919, 16 2 2 ,16,2,2,jt-daniels,https://www.sports-reference.com/cfb/players/jt-daniels-1.html
6,Dorian Thompson-Robinson," Bishop Gorman (Las Vegas, NV)  ", DUAL , 6-1.5 / 195 ,0.9813, 36 2 3 ,36,2,3,dorian-thompson-robinson,https://www.sports-reference.com/cfb/players/dorian-thompson-robinson-1.html
5,Justin Rogers," Parkway (Bossier City, LA)  ", DUAL , 6-4 / 210 ,0.9772, 43 3 3 ,43,3,3,justin-rogers,https://www.sports-reference.com/cfb/players/justin-rogers-1.html
4,Tanner McKee," Centennial (Corona, CA)  ", PRO , 6-6 / 220 ,0.9764, 46 3 7 ,46,3,7,tanner-mckee,https://www.sports-reference.com/cfb/players/tanner-mckee-1.html
8,Matt Corral," Long Beach Poly (Long Beach, CA)  ", PRO , 6-2 / 202 ,0.969, 63 4 9 ,63,4,9,matt-corral,https://www.sports-reference.com/cfb/players/matt-corral-1.html
7,Jarren Williams," Central Gwinnett (Lawrenceville, GA)  ", PRO , 6-2 / 206 ,0.9614, 77 5 10 ,77,5,10,jarren-williams,https://www.sports-reference.com/cfb/players/jarren-williams-1.html
12,Phil Jurkovec," Pine-Richland (Gibsonia, PA)  ", DUAL , 6-5 / 215 ,0.9593, 83 4 2 ,83,4,2,phil-jurkovec,https://www.sports-reference.com/cfb/players/phil-jurkovec-1.html
16,Emory Jones," Heard County (Franklin, GA)  ", DUAL , 6-2.5 / 195 ,0.9587, 85 5 11 ,85,5,11,emory-jones,https://www.sports-reference.com/cfb/players/emory-jones-1.html
13,Colson Yankoff," Coeur d'Alene (Coeur D Alene, ID)  ", DUAL , 6-4 / 204 ,0.9564, 91 6 2 ,91,6,2,colson-yankoff,https://www.sports-reference.com/cfb/players/colson-yankoff-1.html
15,Jacob Sirmon," Bothell (Bothell, WA)  ", PRO , 6-4 / 227 ,0.9559, 94 6 1 ,94,6,1,jacob-sirmon,https://www.sports-reference.com/cfb/players/jacob-sirmon-1.html
19,Adrian Martinez," Clovis West (Fresno, CA)  ", DUAL , 6-2 / 205 ,0.9423, 139 7 21 ,139,7,21,adrian-martinez,https://www.sports-reference.com/cfb/players/adrian-martinez-1.html
10,Tyler Shough," Hamilton (Chandler, AZ)  ", PRO , 6-4.5 / 187 ,0.9422, 140 7 1 ,140,7,1,tyler-shough,https://www.sports-reference.com/cfb/players/tyler-shough-1.html
11,Jack Tuttle," Mission Hills (San Marcos, CA)  ", PRO , 6-4 / 195 ,0.9321, 167 8 25 ,167,8,25,jack-tuttle,https://www.sports-reference.com/cfb/players/jack-tuttle-1.html
14,Spencer Sanders," Ryan (Denton, TX)  ", DUAL , 6-2 / 190 ,0.9311, 171 8 17 ,171,8,17,spencer-sanders,https://www.sports-reference.com/cfb/players/spencer-sanders-1.html
34,Joe Milton," Olympia (Orlando, FL)  ", PRO , 6-5.5 / 230 ,0.9202, 204 9 35 ,204,9,35,joe-milton,https://www.sports-reference.com/cfb/players/joe-milton-1.html
20,Dakereon Joyner," Fort Dorchester (North Charleston, SC)  ", DUAL , 6-2 / 206 ,0.9199, 206 9 4 ,206,9,4,dakereon-joyner,https://www.sports-reference.com/cfb/players/dakereon-joyner-1.html
18,Gerry Bohanon," Earle (Earle, AR)  ", DUAL , 6-3 / 218 ,0.9117, 234 10 1 ,234,10,1,gerry-bohanon,https://www.sports-reference.com/cfb/players/gerry-bohanon-1.html
29,Jack West," Saraland (Saraland, AL)  ", PRO , 6-4 / 217 ,0.9115, 235 10 7 ,235,10,7,jack-west,https://www.sports-reference.com/cfb/players/jack-west-1.html
54,Cameron Rising," Newbury Park (Newbury Park, CA)  ", PRO , 6-2 / 209 ,0.9096, 247 11 33 ,247,11,33,cameron-rising,https://www.sports-reference.com/cfb/players/cameron-rising-1.html
22,Tanner Mordecai," Midway (Waco, TX)  ", DUAL , 6-2.5 / 213 ,0.9092, 249 11 33 ,249,11,33,tanner-mordecai,https://www.sports-reference.com/cfb/players/tanner-mordecai-1.html
32,James Foster," Lanier (Montgomery, AL)  ", DUAL , 6-3 / 210 ,0.9055, 271 12 10 ,271,12,10,james-foster,https://www.sports-reference.com/cfb/players/james-foster-1.html
26,Quincy Patterson," Solorio Academy (Chicago, IL)  ", DUAL , 6-4 / 232 ,0.9048, 275 13 2 ,275,13,2,quincy-patterson,https://www.sports-reference.com/cfb/players/quincy-patterson-1.html
35,Casey Thompson," Newcastle (Newcastle, OK)  ", DUAL , 6-1 / 184 ,0.9021, 291 14 6 ,291,14,6,casey-thompson,https://www.sports-reference.com/cfb/players/casey-thompson-1.html
21,Matthew Baldwin," Lake Travis (Austin, TX)  ", PRO , 6-2.5 / 195 ,0.8958, 331 12 43 ,331,12,43,matthew-baldwin,https://www.sports-reference.com/cfb/players/matthew-baldwin-1.html
40,Jace Ruder," Norton (Norton, KS)  ", DUAL , 6-3 / 205 ,0.8957, 336 15 1 ,336,15,1,jace-ruder,https://www.sports-reference.com/cfb/players/jace-ruder-1.html
